Date,Completed Items,Image Name,Image Type,Source,Replies,Time
2023-11-10,169.0,10c.png,Comments,twitter Ufone,,
2023-11-02,,10r.png,Replies,twitter Upaisa,1.0,6.0
2023-11-01,3.0,11c.png,Comments,twitter Upaisa,,
2023-11-02,,11r.png,Replies,facebook Ufone,1037.0,27.0
2023-11-02,10.0,12c.png,Comments,twitter Upaisa,,
2023-11-02,,12r.png,Replies,facebook Corporate,,
2023-11-03,0.0,13c.png,Comments,twitter Upaisa,,
2023-11-02,,13r.png,Replies,facebook Upaisa,95.0,14.0
2023-11-04,6.0,14c.png,Comments,twitter Upaisa,,
2023-11-02,,14r.png,Replies,instagram Ufone,45.0,25.0
2023-11-05,22.0,15c.png,Comments,twitter Upaisa,,
2023-11-02,,15r.png,Replies,instagram Upaisa,3.0,19.0
2023-11-06,3.0,16c.png,Comments,twitter Upaisa,,
2023-11-02,,16r.png,Replies,linkedin Ufone,2.0,65.0
2023-11-07,1.0,17c.png,Comments,twitter Upaisa,,
2023-11-03,,17r.png,Replies,twitter Ufone,90.0,101.0
2023-11-08,4.0,18c.png,Comments,twitter Upaisa,,
2023-11-03,,18r.png,Replies,twitter Upaisa,,
2023-11-09,3.0,19c.png,Comments,twitter Upaisa,,
2023-11-03,,19r.png,Replies,facebook Ufone,1007.0,8.0
2023-11-01,228.0,1c.png,Comments,twitter Ufone,,
2023-11-01,,1r.png,Replies,twitter Ufone,111.0,110.0
2023-11-10,1.0,20c.png,Comments,twitter Upaisa,,
2023-11-03,,20r.png,Replies,facebook Corporate,10.0,9.0
2023-11-01,1509.0,21c.png,Comments,facebook Ufone,,
2023-11-03,,21r.png,Replies,facebook Upaisa,7.0,7.0
2023-11-02,1670.0,22c.png,Comments,facebook Ufone,,
2023-11-03,,22r.png,Replies,instagram Ufone,35.0,7.0
2023-11-03,1803.0,23c.png,Comments,facebook Ufone,,
2023-11-03,,23r.png,Replies,instagram Upaisa,4.0,13.0
2023-11-04,1736.0,24c.png,Comments,facebook Ufone,,
2023-11-03,,24r.png,Replies,linkedin Ufone,2.0,29.0
2023-11-05,1362.0,25c.png,Comments,facebook Ufone,,
2023-11-04,,25r.png,Replies,twitter Ufone,178.0,42.0
2023-11-06,1751.0,26c.png,Comments,facebook Ufone,,
2023-11-04,,26r.png,Replies,twitter Upaisa,3.0,16.0
2023-11-07,1502.0,27c.png,Comments,facebook Ufone,,
2023-11-04,,27r.png,Replies,facebook Ufone,864.0,6.0
2023-11-08,1531.0,28c.png,Comments,facebook Ufone,,
2023-11-04,,28r.png,Replies,facebook Corporate,,
2023-11-09,1520.0,29c.png,Comments,facebook Ufone,,
2023-11-04,,29r.png,Replies,facebook Upaisa,48.0,7.0
2023-11-02,174.0,2c.png,Comments,twitter Ufone,,
2023-11-01,,2r.png,Replies,twitter Upaisa,1.0,8.0
2023-11-10,1276.0,30c.png,Comments,facebook Ufone,,
2023-11-04,,30r.png,Replies,instagram Ufone,82.0,6.0
2023-11-01,20.0,31c.png,Comments,facebook Corporate,,
2023-11-04,,31r.png,Replies,instagram Upaisa,,
2023-11-02,0.0,32c.png,Comments,facebook Corporate,,
2023-11-04,,32r.png,Replies,linkedin Ufone,3.0,12.0
2023-11-03,16.0,33c.png,Comments,facebook Corporate,,
2023-11-05,,33r.png,Replies,twitter Ufone,174.0,290.0
2023-11-04,0.0,34c.png,Comments,facebook Corporate,,
2023-11-05,,34r.png,Replies,twitter Upaisa,3.0,4.0
2023-11-05,24.0,35c.png,Comments,facebook Corporate,,
2023-11-05,,35r.png,Replies,facebook Ufone,784.0,4.0
2023-11-06,4.0,36c.png,Comments,facebook Corporate,,
2023-11-05,,36r.png,Replies,facebook Corporate,9.0,3.0
2023-11-07,9.0,37c.png,Comments,facebook Corporate,,
2023-11-05,,37r.png,Replies,facebook Upaisa,75.0,4.0
2023-11-08,27.0,38c.png,Comments,facebook Corporate,,
2023-11-05,,38r.png,Replies,instagram Ufone,29.0,4.0
2023-11-09,19.0,39c.png,Comments,facebook Corporate,,
2023-11-05,,39r.png,Replies,instagram Upaisa,3.0,2.0
2023-11-03,208.0,3c.png,Comments,twitter Ufone,,
2023-11-01,,3r.png,Replies,facebook Ufone,837.0,5.0
2023-11-10,16.0,40c.png,Comments,facebook Corporate,,
2023-11-05,,40r.png,Replies,linkedin Ufone,1.0,5.0
2023-11-01,181.0,41c.png,Comments,facebook Upaisa,,
2023-11-06,,41r.png,Replies,twitter Ufone,110.0,45.0
2023-11-02,170.0,42c.png,Comments,facebook Upaisa,,
2023-11-06,,42r.png,Replies,twitter Upaisa,3.0,244.0
2023-11-03,18.0,43c.png,Comments,facebook Upaisa,,
2023-11-06,,43r.png,Replies,facebook Ufone,940.0,8.0
2023-11-04,89.0,44c.png,Comments,facebook Upaisa,,
2023-11-06,,44r.png,Replies,facebook Corporate,9.0,10.0
2023-11-05,,45c.png,Comments,facebook Upaisa,,
2023-11-06,,45r.png,Replies,facebook Upaisa,76.0,9.0
2023-11-06,122.0,46c.png,Comments,facebook Upaisa,,
2023-11-06,,46r.png,Replies,instagram Ufone,42.0,8.0
2023-11-07,82.0,47c.png,Comments,facebook Upaisa,,
2023-11-06,,47r.png,Replies,instagram Upaisa,10.0,6.0
2023-11-08,144.0,48c.png,Comments,facebook Upaisa,,
2023-11-06,,48r.png,Replies,linkedin Ufone,,
2023-11-09,104.0,49c.png,Comments,facebook Upaisa,,
2023-11-07,,49r.png,Replies,twitter Ufone,83.0,63.0
2023-11-04,362.0,4c.png,Comments,twitter Ufone,,
2023-11-01,,4r.png,Replies,facebook Corporate,12.0,3.0
2023-11-10,,50c.png,Comments,facebook Upaisa,,
2023-11-07,,50r.png,Replies,twitter Upaisa,1.0,6.0
2023-11-01,7.0,51c.png,Comments,linkedin Ufone,,
2023-11-07,,51r.png,Replies,facebook Ufone,837.0,5.0
2023-11-02,,52c.png,Comments,linkedin Ufone,,
2023-11-07,,52r.png,Replies,facebook Corporate,5.0,3.0
2023-11-03,3.0,53c.png,Comments,linkedin Ufone,,
2023-11-07,,53r.png,Replies,facebook Upaisa,50.0,5.0
2023-11-04,6.0,54c.png,Comments,linkedin Ufone,,
2023-11-07,,54r.png,Replies,instagram Ufone,38.0,7.0
2023-11-05,7.0,55c.png,Comments,linkedin Ufone,,
2023-11-07,,55r.png,Replies,instagram Upaisa,,
2023-11-06,0.0,56c.png,Comments,linkedin Ufone,,
2023-11-07,,56r.png,Replies,linkedin Ufone,1.0,9.0
2023-11-07,2.0,57c.png,Comments,linkedin Ufone,,
2023-11-08,,57r.png,Replies,twitter Ufone,90.0,125.0
2023-11-08,5.0,58c.png,Comments,linkedin Ufone,,
2023-11-08,,58r.png,Replies,twitter Upaisa,2.0,3.0
2023-11-09,1.0,59c.png,Comments,linkedin Ufone,,
2023-11-08,,59r.png,Replies,facebook Ufone,864.0,7.0
2023-11-05,227.0,5c.png,Comments,twitter Ufone,,
2023-11-01,,5r.png,Replies,facebook Upaisa,119.0,3.0
2023-11-10,6.0,60c.png,Comments,linkedin Ufone,,
2023-11-08,,60r.png,Replies,facebook Corporate,20.0,3.0
2023-11-01,19.0,61c.png,Comments,instagram Upaisa,,
2023-11-08,,61r.png,Replies,facebook Upaisa,89.0,5.0
2023-11-02,6.0,62c.png,Comments,instagram Upaisa,,
2023-11-08,,62r.png,Replies,instagram Ufone,67.0,8.0
2023-11-03,8.0,63c.png,Comments,instagram Upaisa,,
2023-11-08,,63r.png,Replies,instagram Upaisa,3.0,11.0
2023-11-04,0.0,64c.png,Comments,instagram Upaisa,,
2023-11-08,,64r.png,Replies,linkedin Ufone,1.0,6.0
2023-11-05,5.0,65c.png,Comments,instagram Upaisa,,
2023-11-09,,65r.png,Replies,twitter Ufone,106.0,59.0
2023-11-06,24.0,66c.png,Comments,instagram Upaisa,,
2023-11-09,,66r.png,Replies,twitter Upaisa,3.0,6.0
2023-11-07,0.0,67c.png,Comments,instagram Upaisa,,
2023-11-09,,67r.png,Replies,facebook Ufone,855.0,4.0
2023-11-08,5.0,68c.png,Comments,instagram Upaisa,,
2023-11-09,,68r.png,Replies,facebook Corporate,13.0,5.0
2023-11-09,1.0,69c.png,Comments,instagram Upaisa,,
2023-11-09,,69r.png,Replies,facebook Upaisa,55.0,4.0
2023-11-06,215.0,6c.png,Comments,twitter Ufone,,
2023-11-01,,6r.png,Replies,instagram Ufone,40.0,6.0
2023-11-10,5.0,70c.png,Comments,instagram Upaisa,,
2023-11-09,,70r.png,Replies,instagram Ufone,44.0,4.0
2023-11-01,120.0,71c.png,Comments,instagram Ufone,,
2023-11-09,,71r.png,Replies,instagram Upaisa,,
2023-11-02,149.0,72c.png,Comments,instagram Ufone,,
2023-11-09,,72r.png,Replies,linkedin Ufone,,
2023-11-03,135.0,73c.png,Comments,instagram Ufone,,
2023-11-10,,73r.png,Replies,twitter Ufone,99.0,75.0
2023-11-04,250.0,74c.png,Comments,instagram Ufone,,
2023-11-10,,74r.png,Replies,twitter Upaisa,,
2023-11-05,165.0,75c.png,Comments,instagram Ufone,,
2023-11-10,,75r.png,Replies,facebook Ufone,726.0,5.0
2023-11-06,134.0,76c.png,Comments,instagram Ufone,,
2023-11-10,,76r.png,Replies,facebook Corporate,10.0,3.0
2023-11-07,131.0,77c.png,Comments,instagram Ufone,,
2023-11-10,,77r.png,Replies,facebook Upaisa,68.0,5.0
2023-11-08,177.0,78c.png,Comments,instagram Ufone,,
2023-11-10,,78r.png,Replies,instagram Ufone,48.0,5.0
2023-11-09,134.0,79c.png,Comments,instagram Ufone,,
2023-11-10,,79r.png,Replies,instagram Upaisa,3.0,10.0
2023-11-07,161.0,7c.png,Comments,twitter Ufone,,
2023-11-01,,7r.png,Replies,instagram Upaisa,11.0,4.0
2023-11-10,127.0,80c.png,Comments,instagram Ufone,,
2023-11-10,,80r.png,Replies,linkedin Ufone,,
2023-11-08,167.0,8c.png,Comments,twitter Ufone,,
2023-11-01,,8r.png,Replies,linkedin Ufone,,
2023-11-09,247.0,9c.png,Comments,twitter Ufone,,
2023-11-02,,9r.png,Replies,twitter Ufone,78.0,100.0
